,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,movie_category
11,Bryan Singer,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Adventure,Kevin Spacey,240396,29991,Frank Langella,0.0,crystal|epic|lex luthor|lois lane|return to earth,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,2.35,0,average
12,Marc Forster,403.0,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Adventure,Giancarlo Giannini,330784,2023,Rory Kinnear,1.0,action hero|attempted rape|bond girl|official james bond series|revenge,1243.0,English,UK,PG-13,200000000.0,2008.0,412.0,6.7,2.35,0,hit
13,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Fantasy,Johnny Depp,522040,48486,Jack Davenport,2.0,box office hit|giant squid|heart|liar's dice|monster,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,2.35,5000,hit
14,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Adventure,Johnny Depp,181792,45757,Tom Wilkinson,1.0,horse|outlaw|texas|texas ranger|train,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,2.35,48000,average
15,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Fantasy,Henry Cavill,548573,20495,Harry Lennix,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,2.35,118000,hit
16,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Family,Peter Dinklage,149922,22697,Damián Alcázar,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,2.35,0,hit
17,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Adventure,Chris Hemsworth,995415,87697,Scarlett Johansson,3.0,alien invasion|assassin|battle|iron man|soldier,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,1.85,123000,hit
18,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Fantasy,Johnny Depp,370704,54083,Stephen Graham,4.0,blackbeard|captain|pirate|revenge|soldier,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,2.35,58000,hit
19,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Family,Will Smith,268154,12572,Nicole Scherzinger,1.0,alien|criminal|m.i.b.|maximum security prison|prison,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,1.85,40000,hit
20,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Fantasy,Aidan Turner,354228,9152,James Nesbitt,0.0,army|elf|hobbit|middle earth|orc,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,2.35,65000,hit
21,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Fantasy,Emma Stone,451803,28489,Chris Zylka,0.0,lizard|outcast|spider|spider man|teenager,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,2.35,56000,hit
22,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Adventure,Mark Addy,211765,3244,Scott Grimes,0.0,1190s|archer|england|king of england|robin hood,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,2.35,17000,hit
23,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Fantasy,Aidan Turner,483540,9152,James Nesbitt,6.0,dwarf|elf|lake town|mountain|sword and sorcery,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,2.35,83000,hit
24,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Family,Christopher Lee,149019,24106,Kristin Scott Thomas,2.0,children|epic|friend|girl|quest,666.0,English,USA,PG-13,180000000.0,2007.0,6000.0,6.1,2.35,0,average
25,Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Romance,Naomi Watts,316018,7123,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,919.0,7.2,2.35,0,hit
26,James Cameron,315.0,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Romance,Leonardo DiCaprio,793059,45223,Gloria Stuart,0.0,artist|love|ship|titanic|wet,2528.0,English,USA,PG-13,200000000.0,1997.0,14000.0,7.7,2.35,26000,hit
27,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Adventure,Robert Downey Jr.,272670,64798,Chris Evans,0.0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022.0,English,USA,PG-13,250000000.0,2016.0,19000.0,8.2,2.35,72000,hit
28,Peter Berg,377.0,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Adventure,Liam Neeson,202382,26679,Tadanobu Asano,0.0,box office flop|hawaii|naval|oahu hawaii|ship,751.0,English,USA,PG-13,209000000.0,2012.0,10000.0,5.9,2.35,44000,average
29,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Adventure,Bryce Dallas Howard,418214,8458,Omar Sy,0.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290.0,English,USA,PG-13,150000000.0,2015.0,2000.0,7.0,2.0,150000,hit
30,Sam Mendes,750.0,143.0,0.0,393.0,Helen McCrory,883.0,304360277.0,Adventure,Albert Finney,522030,2039,Rory Kinnear,0.0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498.0,English,UK,PG-13,200000000.0,2012.0,563.0,7.8,2.35,80000,hit
31,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,Romance,J.K. Simmons,411164,43388,Kirsten Dunst,1.0,death|doctor|scientist|super villain|tentacle,1303.0,English,USA,PG-13,200000000.0,2004.0,11000.0,7.3,2.35,0,hit
32,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Adventure,Robert Downey Jr.,557489,30426,Don Cheadle,3.0,armor|explosion|human bomb|missile attack|terrorist,1187.0,English,USA,PG-13,200000000.0,2013.0,4000.0,7.2,2.35,95000,hit
33,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Family,Johnny Depp,306320,79957,Anne Hathaway,0.0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736.0,English,USA,PG,200000000.0,2010.0,25000.0,6.5,1.85,24000,average
34,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Fantasy,Hugh Jackman,383427,21714,Daniel Cudmore,0.0,battle|mutant|outrage|walking through a wall|x men,1912.0,English,Canada,PG-13,210000000.0,2006.0,808.0,6.8,2.35,0,hit
35,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Animation,Steve Buscemi,235025,14863,Sean Hayes,0.0,cheating|fraternity|monster|singing in a car|university,265.0,English,USA,G,200000000.0,2013.0,779.0,7.3,1.85,44000,hit
36,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Adventure,Glenn Morshower,323207,3218,Ramon Rodriguez,0.0,autobot|decepticon|machine|sun|symbol,1439.0,English,USA,PG-13,200000000.0,2009.0,581.0,6.0,2.35,0,average
37,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Adventure,Bingbing Li,242420,3988,Kelsey Grammer,2.0,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918.0,English,USA,PG-13,210000000.0,2014.0,956.0,5.7,2.35,56000,average
38,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Family,Tim Holmes,175409,73441,James Franco,4.0,circus|magic|magician|oz|witch,511.0,English,USA,PG,215000000.0,2013.0,15000.0,6.4,2.35,60000,average
39,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Fantasy,Emma Stone,321227,28631,B.J. Novak,0.0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067.0,English,USA,PG-13,200000000.0,2014.0,10000.0,6.7,2.35,41000,hit
40,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Adventure,Jeff Bridges,264183,25550,James Frain,0.0,arcade|bridge|disappearance|escape|warrior,665.0,English,USA,PG,170000000.0,2010.0,10000.0,6.8,2.35,30000,hit
41,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Animation,Joe Mantegna,101178,4482,Eddie Izzard,0.0,best friend|car race|conspiracy|gadget car|spy,283.0,English,USA,G,200000000.0,2011.0,919.0,6.3,2.35,10000,average
42,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Adventure,Ryan Reynolds,223393,17657,Taika Waititi,2.0,autopsy|lantern|planet|ring|test pilot,550.0,English,USA,PG-13,200000000.0,2011.0,368.0,5.6,2.35,24000,average
43,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Animation,Tom Hanks,544884,19085,Don Rickles,3.0,college|day care|escape|teddy bear|toy,733.0,English,USA,G,200000000.0,2010.0,1000.0,8.3,1.85,30000,hit
44,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Adventure,Christian Bale,286095,27468,Common,0.0,death row|future|machine|rescue|skynet,974.0,English,USA,PG-13,200000000.0,2009.0,3000.0,6.6,2.35,0,hit
45,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Action,Jason Statham,278232,79150,Vin Diesel,0.0,car falling off a cliff|hospital|revenge|star died before release|terrorist,657.0,English,USA,PG-13,190000000.0,2015.0,23000.0,7.2,2.35,94000,hit
46,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Adventure,Peter Capaldi,465019,32392,Mireille Enos,0.0,chaos|disease|infection|pandemic|zombie,995.0,English,USA,PG-13,190000000.0,2013.0,11000.0,7.0,2.35,129000,hit
47,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Fantasy,Jennifer Lawrence,514125,91434,Hugh Jackman,7.0,dystopia|super strength|supernatural power|time paradox|time travel,752.0,English,USA,PG-13,200000000.0,2014.0,22000.0,8.0,2.35,82000,hit
48,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Adventure,Benedict Cumberbatch,395573,21411,Noel Clarke,0.0,admiral|captain|manhunt|mission|space,1171.0,English,USA,PG-13,190000000.0,2013.0,981.0,7.8,2.35,92000,hit
49,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Fantasy,Eddie Marsan,106416,1766,Ralph Brown,1.0,bean|giant|king|no opening credits|princess,205.0,English,USA,PG-13,195000000.0,2013.0,557.0,6.3,2.35,22000,average
50,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Romance,Leonardo DiCaprio,362912,29770,Steve Bisley,4.0,ingratitude|mansion|party|title appears in writing|tragedy,753.0,English,Australia,PG-13,105000000.0,2013.0,509.0,7.3,2.35,115000,hit
51,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Romance,Jake Gyllenhaal,222403,16149,Reece Ritchie,2.0,alamut|dagger|king|persia|princess,453.0,English,USA,PG-13,200000000.0,2010.0,567.0,6.6,2.35,23000,hit
52,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Adventure,Charlie Hunnam,381148,19166,Larry Joe Campbell,0.0,giant monster|kaiju|pilot|portal|robot,1106.0,English,USA,PG-13,190000000.0,2013.0,968.0,7.0,1.85,83000,hit
53,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Adventure,Glenn Morshower,326180,2593,Kevin Dunn,2.0,autobot|decepticon|job interview|moon|spacecraft,899.0,English,USA,PG-13,195000000.0,2011.0,829.0,6.3,2.35,46000,average
54,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Fantasy,Harrison Ford,333847,14959,Jim Broadbent,2.0,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054.0,English,USA,PG-13,185000000.0,2008.0,1000.0,6.2,2.35,5000,average
56,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Animation,Kelly Macdonald,273556,5005,Julie Walters,0.0,archery|coming of age|female warrior|princess|rebellious daughter,428.0,English,USA,PG,185000000.0,2012.0,1000.0,7.2,2.35,39000,hit
57,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Adventure,Sofia Boutella,53607,1327,Lydia Wilson,4.0,hatred|sequel|space opera|star trek|third part,432.0,English,USA,PG-13,185000000.0,2016.0,119.0,7.5,2.35,30000,hit
58,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,Animation,John Ratzenberger,718837,2975,Jeff Garlin,0.0,earth|obesity|plant|robot|soil,1043.0,English,USA,G,180000000.0,2008.0,729.0,8.4,2.35,16000,hit
59,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Comedy,Tzi Ma,121084,1125,Noémie Lenoir,2.0,ambassador|assassination|chinese|french|triad,221.0,English,USA,PG-13,140000000.0,2007.0,268.0,6.2,2.35,0,average
60,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Adventure,Oliver Platt,283418,2144,Tom McCarthy,0.0,ark|catastrophe|geologist|president|writer,1055.0,English,USA,PG-13,200000000.0,2009.0,468.0,5.8,2.35,13000,average
61,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Animation,Robin Wright,72809,48878,Gary Oldman,0.0,charles dickens|christmas|christmas eve|ghost|scrooge,249.0,English,USA,PG,200000000.0,2009.0,14000.0,6.8,2.35,0,hit
62,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Adventure,Channing Tatum,139593,47334,Eddie Redmayne,1.0,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720.0,English,USA,PG-13,176000000.0,2015.0,15000.0,5.4,2.35,44000,average
63,David Yates,248.0,110.0,282.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Romance,Christoph Waltz,42372,21175,Casper Crump,2.0,africa|capture|jungle|male objectification|tarzan,239.0,English,USA,PG-13,180000000.0,2016.0,10000.0,6.6,2.35,29000,hit
64,Andrew Adamson,284.0,150.0,80.0,82.0,Kiran Shah,1000.0,291709845.0,Family,Jim Broadbent,286506,1317,Shane Rangi,5.0,hide and seek|lion|magic|professor|snow,1463.0,English,USA,PG,180000000.0,2005.0,190.0,6.9,2.35,0,hit
65,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Adventure,Jennifer Lawrence,148379,49684,Tye Sheridan,6.0,mutant|superhero|superhero team|x men|year 1983,622.0,English,USA,PG-13,178000000.0,2016.0,13000.0,7.3,2.35,54000,hit
66,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Drama,Christian Bale,1676169,57802,Morgan Freeman,0.0,based on comic book|dc comics|psychopath|star died before release|urban setting,4667.0,English,USA,PG-13,185000000.0,2008.0,13000.0,9.0,2.35,37000,blockbuster
67,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,Animation,John Ratzenberger,665575,2635,Jess Harnell,1.0,balloon|house|promise|retirement|skeleton,704.0,English,USA,PG,175000000.0,2009.0,848.0,8.3,1.85,27000,hit
68,Rob Letterman,219.0,94.0,11.0,459.0,Rainn Wilson,1000.0,198332128.0,Animation,Amy Poehler,114553,2579,Stephen Colbert,2.0,alien|alien invasion|alien space craft|giant|giantess,187.0,English,USA,PG,175000000.0,2009.0,973.0,6.5,2.35,0,average
69,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Adventure,Robert Downey Jr.,696338,39252,Jon Favreau,3.0,afghanistan|billionaire|inventor|playboy|u.s. air force,1055.0,English,USA,PG-13,140000000.0,2008.0,12000.0,7.9,2.35,10000,hit
70,Martin Scorsese,682.0,126.0,17000.0,1000.0,Christopher Lee,17000.0,73820094.0,Family,Chloë Grace Moretz,245333,36017,Ray Winstone,0.0,automaton|mechanical|railway station|steampunk|train,678.0,English,USA,PG,170000000.0,2011.0,16000.0,7.5,1.85,42000,hit
71,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Comedy,Will Smith,129601,15870,Bai Ling,2.0,buddy movie|general|inventor|steampunk|utah,648.0,English,USA,PG-13,170000000.0,1999.0,4000.0,4.8,1.85,0,average
72,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Fantasy,Jet Li,117927,9131,Russell Wong,2.0,army|china|emperor|mummy|shangri la,501.0,English,USA,PG-13,145000000.0,2008.0,3000.0,5.2,2.35,0,average
73,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Comedy,Will Smith,118992,11287,Ike Barinholtz,8.0,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971.0,English,USA,PG-13,175000000.0,2016.0,336.0,6.9,2.35,80000,hit
74,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Family,Jimmy Bennett,115099,108016,Steve Carell,0.0,ark|change|congressman|depiction of god|flood,257.0,English,USA,PG,175000000.0,2007.0,11000.0,5.4,2.35,2000,average
75,Doug Liman,585.0,113.0,218.0,509.0,Lara Pulver,10000.0,100189501.0,Adventure,Tom Cruise,431620,12652,Noah Taylor,1.0,alien|combat|dying repeatedly|end of the world|time loop,741.0,English,USA,PG-13,178000000.0,2014.0,854.0,7.9,2.35,77000,hit
76,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Adventure,Jeanne Tripplehorn,144337,1004,Zakes Mokae,0.0,future|sail|sea|smoker|water,309.0,English,USA,PG-13,175000000.0,1995.0,60.0,6.1,1.85,0,average
77,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Adventure,Joseph Gordon-Levitt,174578,26683,Leo Howard,4.0,cobra|gi joe|snake|train|warhead,534.0,English,USA,PG-13,175000000.0,2009.0,2000.0,5.8,2.35,0,average
78,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Animation,Amy Poehler,345198,2944,Phyllis Smith,1.0,anger|joy|memory|running away|sadness,773.0,English,USA,PG,175000000.0,2015.0,767.0,8.3,1.85,118000,hit
79,Jon Favreau,370.0,106.0,4000.0,591.0,Bill Murray,19000.0,362645141.0,Family,Scarlett Johansson,106072,32921,Garry Shandling,0.0,fire|jungle|remake|tiger|wolf,398.0,English,UK,PG,175000000.0,2016.0,13000.0,7.8,1.85,65000,hit
80,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Adventure,Robert Downey Jr.,522371,48638,Jon Favreau,4.0,hammer|military|monaco|revenge|tony stark,723.0,English,USA,PG-13,200000000.0,2010.0,19000.0,7.0,2.35,18000,hit
81,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Fantasy,Chris Hemsworth,228554,72881,Sam Claflin,0.0,evil queen|fairy tale|magic|queen|snow white,710.0,English,USA,PG-13,170000000.0,2012.0,17000.0,6.1,2.35,53000,average
82,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Family,Angelina Jolie Pitt,252257,15516,Sam Riley,2.0,curse|dark fantasy|fairy|king|kingdom,634.0,English,USA,PG,180000000.0,2014.0,2000.0,7.0,2.35,89000,hit
83,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Adventure,Gary Oldman,317542,14363,Kodi Smit-McPhee,0.0,ape|dam|leader|post apocalypse|sequel,620.0,English,USA,PG-13,170000000.0,2014.0,2000.0,7.6,1.85,45000,hit
85,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Fantasy,Keanu Reeves,116994,20965,Jin Akanishi,2.0,box office flop|ronin|samurai|shogun|tournament,324.0,English,USA,PG-13,175000000.0,2013.0,1000.0,6.3,2.35,35000,average
86,Anthony Russo,576.0,136.0,94.0,2000.0,Chris Evans,19000.0,259746958.0,Adventure,Scarlett Johansson,496749,36188,Hayley Atwell,1.0,conspiracy|heroism|megalomaniac|super soldier|world domination,742.0,English,USA,PG-13,170000000.0,2014.0,11000.0,7.8,2.35,55000,hit
87,Mike Mitchell,226.0,93.0,31.0,213.0,Kathy Griffin,4000.0,238371987.0,Animation,Jon Hamm,138661,4628,Mary Kay Place,2.0,alternate world|fairy tale parody|female warrior|ogre|true love,173.0,English,USA,PG,165000000.0,2010.0,225.0,6.4,2.35,0,average
88,Brad Bird,443.0,130.0,663.0,604.0,Chris Bauer,2000.0,93417865.0,Family,Judy Greer,128306,5046,Thomas Robinson,2.0,boy genius|futuristic city|inventor|teenage girl|time travel,497.0,English,USA,PG,190000000.0,2015.0,638.0,6.5,2.2,37000,average
89,Don Hall,384.0,102.0,38.0,562.0,Daniel Henney,756.0,222487711.0,Animation,Damon Wayans Jr.,279093,2963,Abraham Benrubi,0.0,high tech|martial arts|masked man|robot|superhero,433.0,English,USA,PG,165000000.0,2014.0,719.0,7.9,2.39,41000,hit
90,Rich Moore,377.0,101.0,66.0,833.0,Sarah Silverman,975.0,189412677.0,Animation,Jack McBrayer,272534,4451,Joe Lo Truglio,1.0,arcade|candy|glitch|king|medal,345.0,English,USA,PG,165000000.0,2012.0,931.0,7.8,2.35,40000,hit
91,Robert Zemeckis,188.0,100.0,0.0,267.0,Eddie Deezen,15000.0,665426.0,Animation,Tom Hanks,120798,16264,Peter Scolari,0.0,boy|christmas|christmas eve|north pole|train,444.0,English,USA,G,165000000.0,2004.0,726.0,6.6,2.35,10000,hit
92,Roland Emmerich,286.0,120.0,776.0,535.0,Sela Ward,890.0,102315545.0,Adventure,Vivica A. Fox,58137,3233,Judd Hirsch,0.0,alien|battle|defense|independence day|mothership,520.0,English,USA,PG-13,165000000.0,2016.0,812.0,5.5,2.35,67000,average
93,Dean DeBlois,288.0,98.0,255.0,759.0,America Ferrera,18000.0,217387997.0,Animation,Gerard Butler,485430,20453,Craig Ferguson,0.0,dragon|island|training|viking|village,492.0,English,USA,PG,165000000.0,2010.0,953.0,8.2,2.35,33000,hit
94,Jonathan Mostow,280.0,109.0,84.0,191.0,M.C. Gainey,648.0,150350192.0,Sci-Fi,Nick Stahl,305340,1769,Carolyn Hennesy,0.0,drifter|exploding truck|future|machine|skynet,1676.0,English,USA,R,200000000.0,2003.0,284.0,6.4,2.35,0,average
95,James Gunn,653.0,121.0,571.0,3000.0,Vin Diesel,14000.0,333130696.0,Adventure,Bradley Cooper,682155,32438,Djimon Hounsou,3.0,bounty hunter|outer space|raccoon|talking animal|tree,1097.0,English,USA,PG-13,170000000.0,2014.0,14000.0,8.1,2.35,96000,hit
96,Christopher Nolan,712.0,169.0,22000.0,6000.0,Anne Hathaway,11000.0,187991439.0,Adventure,Matthew McConaughey,928227,31488,Mackenzie Foy,1.0,black hole|father daughter relationship|saving the world|space travel|wormhole,2725.0,English,USA,PG-13,165000000.0,2014.0,11000.0,8.6,2.35,349000,blockbuster
97,Christopher Nolan,642.0,148.0,22000.0,23000.0,Tom Hardy,29000.0,292568851.0,Adventure,Leonardo DiCaprio,1468200,81115,Joseph Gordon-Levitt,0.0,ambiguous ending|corporate espionage|dream|subconscious|thief,2803.0,English,USA,PG-13,160000000.0,2010.0,27000.0,8.8,2.35,175000,blockbuster
